Record Id,Account Owner Id,Rating,Account Name,Phone,Fax,Parent Account Id,Website,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By Id,Modified By Id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Layout Id,Account Number,Account Site,Tag,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Score,Positive Score,Negative Score,Touch Point Score,Positive Touch Point Score,Negative Touch Point Score,Account Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Change Log Time,Locked,Last Enriched Time,Enrich Status
zcrm_404427000000249093,zcrm_404427000000247001,,Benton (Sample),555-555-5555,,,http://bentonus.com/,,Analyst,Privately Held,Technology,50,100000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:56,zcrm_404427000000000169,0,,,6649 N Blue Gum St,,New Orleans,,LA,,70116,,United States,,Benton is a privately held technology company with 50 employees with an annual revenue of 100000 USD.,0,0,0,0,0,0,tndgd4f78358da66846ffa7da6a8b31f064cf.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:56,,,false,,
zcrm_404427000000249094,zcrm_404427000000247001,,Chanay (Sample),555-555-5555,,,http://chanayus.com/,,Competitor,Government,Government/Military,2500,200000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:56,zcrm_404427000000000169,0,,,4 B Blue Ridge Blvd,,Brighton,,MI,,48116,,United States,,Chanay is a government owned organisation with 2500 employees. It consists of the Navy and Coast Guard units.,0,0,0,0,0,0,tndgd341c8db9e1184fcb8a9587e4c1cdcf20.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:56,,,false,,
zcrm_404427000000249095,zcrm_404427000000247001,,Chemel (Sample),555-555-5555,,,http://chemelus.com/,,Distributor,Public Company,Communications,1200,830000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:56,zcrm_404427000000000169,0,,,8 W Cerritos Ave #54,,Bridgeport,,NJ,,8014,,United States,,Chemel is a public owned communications company with an annual revenue of 830000 USD and about 1200 employees.,0,0,0,0,0,0,tndgd9947b215a1e04587bcc28bc77b987fb8.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:56,,,false,,
zcrm_404427000000249096,zcrm_404427000000247001,,Feltz Printing Service (Sample),555-555-5555,,,http://feltzprinting.com/,,Integrator,Privately Held,Manufacturing,3500,170000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:56,zcrm_404427000000000169,0,,,639 Main St,,Anchorage,,AK,,99501,,United States,,"Feltz Printing Service is a privately-held manufacturing company based out of Anchorage, Alaska.",0,0,0,0,0,0,tndgd4c60b84deb6b45e4ad07da57cc621fa2.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:56,,,false,,
zcrm_404427000000249097,zcrm_404427000000247001,,Printing Dimensions (Sample),555-555-5555,,,http://printingdimensions.com,,Investor,Privately Held,Real Estate,80,270000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:56,zcrm_404427000000000169,0,,,34 Center St,,Hamilton,,OH,,45011,,United States,,"Printing Dimensions is a privately-held real estate developer based in Hamilton, Ohio.",0,0,0,0,0,0,tndgdfcb6311f9ce249a793b85b71e6ee9506.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:56,,,false,,
zcrm_404427000000249098,zcrm_404427000000247001,,Chapman (Sample),555-555-5555,,,http://chapmanus.com/,,Other,Privately Held,Consulting,2000,230000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:56,zcrm_404427000000000169,0,,,3 Mcauley Dr,,Ashland,,OH,,44805,,United States,,"Founded in 1996 and headquartered in Ashland, Ohio. They operate from 10 locations across the country.",0,0,0,0,0,0,tndgd4336a81920d94f129694c8314847171e.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:56,,,false,,
zcrm_404427000000249099,zcrm_404427000000247001,,Morlong Associates (Sample),555-555-5555,,,http://morlongassociates.com/,,Partner,Privately Held,Financial Services,300,190000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:57,zcrm_404427000000000169,0,,,7 Eads St,,Chicago,,IL,,60632,,United States,,Morlong Associates is an American investment management firm founded in 1995.,0,0,0,0,0,0,tndgd4775adc8205d42ce9fdcaf5f0560e9ff.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:57,,,false,,
zcrm_404427000000249100,zcrm_404427000000247001,,Commercial Press (Sample),555-555-5555,,,http://commercialpress.com/,,Reseller,Privately Held,Education,456,650000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:55,,,2022-10-13 16:42:57,zcrm_404427000000000169,0,,,7 W Jackson Blvd,,San Jose,,CA,,95111,,United States,,Commercial Press is an American owned reseller of renowned authors across the education sector.,0,0,0,0,0,0,tndgd963812df638949faaf192183b26851d4.png,2022-10-13 16:42:55,2022-10-13 16:42:53,2022-10-13 16:42:57,,,false,,
zcrm_404427000000249101,zcrm_404427000000247001,,Truhlar And Truhlar (Sample),555-555-5555,,,http://truhlarandtruhlartech.com/,,Supplier,Privately Held,Technology,23,200000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:56,,,2022-10-13 16:42:57,zcrm_404427000000000169,0,,,5 Boston Ave #88,,Sioux Falls,,SD,,57105,,United States,,Truhlar and Truhlar is a technology supplier of noise reduction systems and audio encoding / compression.,0,0,0,0,0,0,tndgd075bc95ae24b4db9bc51264acb49414f.png,2022-10-13 16:42:56,2022-10-13 16:42:53,2022-10-13 16:42:57,,,false,,
zcrm_404427000000249102,zcrm_404427000000247001,,King (Sample),555-555-5555,,,http://kingmanufacturing.com,,Vendor,Partnership,Manufacturing,445,850000.0,,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:23,2022-10-13 16:42:56,,,2022-10-13 16:42:57,zcrm_404427000000000169,0,,,228 Runamuck Pl #2808,,Baltimore,,MD,,21224,,United States,,"King is a multinational electronics contract manufacturing company with its headquarters in Baltimore, United States.",0,0,0,0,0,0,tndgdbf6117864037417b9840f6c82b5a6efc.png,2022-10-13 16:42:56,2022-10-13 16:42:53,2022-10-13 16:42:57,,,false,,
